Index,Name,Ranking,Overview,School Type,Year Founded,Religious Affiliation,Academic Calendar,Setting,2019 Endowment,School Website
17,Monmouth College,127,"Monmouth College is a private institution that was founded in 1853. It has a total undergraduate enrollment of 907, its setting is rural, and the campus size is 112 acres. It utilizes a semester-based academic calendar. Monmouth College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #127. Its tuition and fees are $41,330.","Private, Coed",1853.0,None,Semester,Rural,122600000.0,
18,Presbyterian College,127,"Presbyterian College is a private institution that was founded in 1880. It has a total undergraduate enrollment of 1,102, its setting is rural, and the campus size is 240 acres. It utilizes a semester-based academic calendar. Presbyterian College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #127. Its tuition and fees are $40,260.","Private, Coed",1880.0,Presbyterian Church (USA),Semester,Rural,91500000.0,
19,Albion College,130,"Albion College is a private institution that was founded in 1835. It has a total undergraduate enrollment of 1,475, its setting is suburban, and the campus size is 574 acres. It utilizes a semester-based academic calendar. Albion College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #130. Its tuition and fees are $50,590.","Private, Coed",1835.0,United Methodist,Semester,Suburban,170100000.0,
20,Middlebury College,9,"Middlebury College is a private institution that was founded in 1800. It has a total undergraduate enrollment of 2,580, its setting is rural, and the campus size is 350 acres. It utilizes a 4-1-4-based academic calendar. Middlebury College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #9. Its tuition and fees are $58,316.","Private, Coed",1800.0,None,4-1-4,Rural,1200000000.0,
21,Washington and Lee University,9,"Washington and Lee University is a private institution that was founded in 1749. It has a total undergraduate enrollment of 1,860, its setting is city, and the campus size is 430 acres. It utilizes a 4-4-1-based academic calendar. Washington and Lee University's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #9. Its tuition and fees are $57,285.","Private, Coed",1749.0,None,4-4-1,City,1700000000.0,
22,Grinnell College,13,"Grinnell College is a private institution that was founded in 1846. It has a total undergraduate enrollment of 1,733, its setting is rural, and the campus size is 120 acres. It utilizes a semester-based academic calendar. Grinnell College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #13. Its tuition and fees are $56,680.","Private, Coed",1846.0,None,Semester,Rural,2100000000.0,
23,Vassar College,13,"Vassar College is a private institution that was founded in 1861. It has a total undergraduate enrollment of 2,441, its setting is suburban, and the campus size is 1,000 acres. It utilizes a semester-based academic calendar. Vassar College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #13. Its tuition and fees are $60,930.","Private, Coed",1861.0,None,Semester,Suburban,1100000000.0,
24,Colby College,15,"Colby College is a private institution that was founded in 1813. It has a total undergraduate enrollment of 2,003, its setting is rural, and the campus size is 714 acres. It utilizes a 4-1-4-based academic calendar. Colby College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #15. Its tuition and fees are $59,430.","Private, Coed",1813.0,None,4-1-4,Rural,869900000.0,
25,Davidson College,15,"Davidson College is a private institution that was founded in 1837. It has a total undergraduate enrollment of 1,837, its setting is suburban, and the campus size is 665 acres. It utilizes a semester-based academic calendar. Davidson College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #15. Its tuition and fees are $55,060.","Private, Coed",1837.0,Presbyterian Church (USA),Semester,Suburban,881500000.0,
26,Haverford College,15,"Haverford College is a private institution that was founded in 1833. It has a total undergraduate enrollment of 1,317, its setting is suburban, and the campus size is 200 acres. It utilizes a semester-based academic calendar. Haverford College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #15. Its tuition and fees are $58,900.","Private, Coed",1833.0,None,Semester,Suburban,526900000.0,
