Index,Name,Ranking,Overview,School Type,Year Founded,Religious Affiliation,Academic Calendar,Setting,2019 Endowment,School Website,Info Page
208,Tougaloo College,171,"Tougaloo College is a private institution that was founded in 1869. It has a Suburban setting, and the campus size is 100 acres. It utilizes a semester-based academic calendar. Tougaloo College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #171-#221. Its tuition and fees are $11,398.","Private, Coed",1869.0,United Church of Christ,Semester,Suburban,,http://www.tougaloo.edu,https://www.usnews.com/best-colleges/tougaloo-college-2439
209,University of Maine--Machias,171,"University of Maine—Machias is a public institution that was founded in 1909. It has a total undergraduate enrollment of 659, its setting is rural, and the campus size is 43 acres. It utilizes a semester-based academic calendar. University of Maine—Machias's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #171-#221. Its in-state tuition and fees are $9,198; out-of-state tuition and fees are $16,458.","Public, Coed",1909.0,None,Semester,Rural,2500000.0,http://machias.edu/,https://www.usnews.com/best-colleges/university-of-maine-machias-2055
210,University of Pikeville,171,"University of Pikeville is a private institution that was founded in 1889. It has a total undergraduate enrollment of 1,404, its setting is rural, and the campus size is 25 acres. It utilizes a semester-based academic calendar. University of Pikeville's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #171-#221. Its tuition and fees are $22,050.","Private, Coed",1889.0,Presbyterian Church (USA),Semester,Rural,23400000.0,http://www.upike.edu/,https://www.usnews.com/best-colleges/university-of-pikeville-1980
211,University of Puerto Rico--Ponce,171,"University of Puerto Rico—Ponce is a public institution that was founded in 1970. It has a Urban setting, and the campus size is 86 acres. It utilizes a semester-based academic calendar. University of Puerto Rico—Ponce's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #171-#221. Its in-state tuition and fees are $4,394; out-of-state tuition and fees are $6,536.","Public, Coed",1970.0,None,Semester,Urban,,//www.uprp.edu,https://www.usnews.com/best-colleges/university-of-puerto-rico-ponce-9652
212,University of Science and Arts of Oklahoma,171,"University of Science and Arts of Oklahoma is a public institution that was founded in 1908. It has a total undergraduate enrollment of 800, its setting is rural, and the campus size is 75 acres. It utilizes a trimester-based academic calendar. University of Science and Arts of Oklahoma's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #171-#221. Its in-state tuition and fees are $8,040; out-of-state tuition and fees are $18,900.","Public, Coed",1908.0,None,Trimester,Rural,,http://www.usao.edu,https://www.usnews.com/best-colleges/university-of-science-and-arts-3167
213,University of South Carolina--Beaufort,171,"University of South Carolina—Beaufort is a public institution that was founded in 1959. It has a total undergraduate enrollment of 2,112, its setting is suburban, and the campus size is 213 acres. It utilizes a semester-based academic calendar. University of South Carolina—Beaufort's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #171-#221. Its in-state tuition and fees are $10,730; out-of-state tuition and fees are $21,776.","Public, Coed",1959.0,None,Semester,Suburban,8500000.0,http://www.uscb.edu,https://www.usnews.com/best-colleges/university-of-south-carolina-beaufort-3450
214,University of the West,171,"University of the West is a private institution that was founded in 1991. It has a Suburban setting, and the campus size is 10 acres. It utilizes a semester-based academic calendar. University of the West's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #171-#221. Its tuition and fees are $12,956.","Private, Coed",1991.0,None,Semester,Suburban,,//www.uwest.edu,https://www.usnews.com/best-colleges/university-of-the-west-36963
215,University of Wisconsin--Parkside,171,"University of Wisconsin—Parkside is a public institution that was founded in 1968. It has a total undergraduate enrollment of 3,938, its setting is suburban, and the campus size is 750 acres. It utilizes a semester-based academic calendar. University of Wisconsin—Parkside's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #171-#221. Its in-state tuition and fees are $7,421; out-of-state tuition and fees are $15,691.","Public, Coed",1968.0,None,Semester,Suburban,7600000.0,https://www.uwp.edu/,https://www.usnews.com/best-colleges/uw-parkside-5015
216,University of Wisconsin--Superior,171,"University of Wisconsin—Superior is a public institution that was founded in 1893. It has a total undergraduate enrollment of 2,257, its setting is city, and the campus size is 124 acres. It utilizes a semester-based academic calendar. University of Wisconsin—Superior's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #171-#221. Its in-state tuition and fees are $8,142; out-of-state tuition and fees are $15,712.","Public, Coed",1893.0,None,Semester,City,17700000.0,http://www.uwsuper.edu,https://www.usnews.com/best-colleges/university-of-wisconsin-superior-3925
217,Virginia Union University,171,"Virginia Union University is a private institution that was founded in 1865. It has a total undergraduate enrollment of 1,132, its setting is urban, and the campus size is 100 acres. It utilizes a semester-based academic calendar. Virginia Union University's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #171-#221. Its tuition and fees are $13,530.","Private, Coed",1865.0, Baptist,Semester,Urban,33400000.0,http://www.vuu.edu/,https://www.usnews.com/best-colleges/virginia-union-university-3766
218,Virginia Wesleyan University,171,"Virginia Wesleyan University is a private institution that was founded in 1961. It has a total undergraduate enrollment of 1,387, its setting is suburban, and the campus size is 284 acres. It utilizes a 4-1-4-based academic calendar. Virginia Wesleyan University's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #171-#221. Its tuition and fees are $36,910.","Private, Coed",1961.0,United Methodist,4-1-4,Suburban,60000000.0,http://www.vwu.edu,https://www.usnews.com/best-colleges/virginia-wesleyan-3767
219,Williams Baptist University,171,"Williams Baptist University is a private institution that was founded in 1941. It has a total undergraduate enrollment of 526, its setting is rural, and the campus size is 250 acres. It utilizes a semester-based academic calendar. Williams Baptist University's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #171-#221. Its tuition and fees are $18,500.","Private, Coed",1941.0,Southern Baptist,Semester,Rural,15600000.0,https://williamsbu.edu/,https://www.usnews.com/best-colleges/williams-baptist-university-1106
220,Young Harris College,171,"Young Harris College is a private institution that was founded in 1886. It has a total undergraduate enrollment of 1,403, its setting is rural, and the campus size is 800 acres. It utilizes a semester-based academic calendar. Young Harris College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #171-#221. Its tuition and fees are $29,067.","Private, Coed",1886.0,United Methodist,Semester,Rural,,//www.yhc.edu,https://www.usnews.com/best-colleges/young-harris-college-666965
221,American Jewish University,-1,"American Jewish University is a private institution that was founded in 1947. It has a Urban setting, and the campus size is 28 acres. It utilizes a semester-based academic calendar.  Its tuition and fees are $32,404.","Private, Coed",1947.0,None,Semester,Urban,,http://www.aju.edu,https://www.usnews.com/best-colleges/american-jewish-university-2741
222,Thomas More College of Liberal Arts,-1,"Thomas More College of Liberal Arts is a private institution that was founded in 1978. It has a Suburban setting, and the campus size is 14 acres. It utilizes a semester-based academic calendar.  Its tuition and fees are $21,600.","Private, Coed",1978.0,Roman Catholic,Semester,Suburban,,//www.thomasmorecollege.edu,https://www.usnews.com/best-colleges/thomas-more-college-merrimack-30431
