Index,Name,Ranking,Overview,School Type,Year Founded,Religious Affiliation,Academic Calendar,Setting,2019 Endowment,School Website,Info Page
24,Colorado College,25,"Colorado College is a private institution that was founded in 1874. It has a total undergraduate enrollment of 2,099, its setting is city, and the campus size is 100 acres. It utilizes a block plan-based academic calendar. Colorado College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #25. Its tuition and fees are $60,864.","Private, Coed",1874.0,None,Block Plan,City,771900000.0,http://www.ColoradoCollege.edu,https://www.usnews.com/best-colleges/colorado-college-1347
25,Harvey Mudd College,25,"Harvey Mudd College is a private institution that was founded in 1955. It has a total undergraduate enrollment of 895, its setting is suburban, and the campus size is 33 acres. It utilizes a semester-based academic calendar. Harvey Mudd College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #25. Its tuition and fees are $58,660.","Private, Coed",1955.0,None,Semester,Suburban,328600000.0,http://www.hmc.edu,https://www.usnews.com/best-colleges/harvey-mudd-college-1171
26,Macalester College,27,"Macalester College is a private institution that was founded in 1874. It has a total undergraduate enrollment of 2,098, its setting is urban, and the campus size is 53 acres. It utilizes a semester-based academic calendar. Macalester College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #27. Its tuition and fees are $58,478.","Private, Coed",1874.0,None,Semester,Urban,749600000.0,http://www.macalester.edu,https://www.usnews.com/best-colleges/macalester-college-2358
27,Bryn Mawr College,28,"Bryn Mawr College is a private institution that was founded in 1885. It has a total undergraduate enrollment of 1,384, its setting is suburban, and the campus size is 135 acres. It utilizes a semester-based academic calendar. Bryn Mawr College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #28. Its tuition and fees are $56,610.","Private, Women's college",1885.0,None,Semester,Suburban,888200000.0,http://www.brynmawr.edu,https://www.usnews.com/best-colleges/bryn-mawr-college-3237
28,Kenyon College,28,"Kenyon College is a private institution that was founded in 1824. It has a total undergraduate enrollment of 1,747, its setting is rural, and the campus size is 1,000 acres. It utilizes a semester-based academic calendar. Kenyon College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #28. Its tuition and fees are $61,100.","Private, Coed",1824.0,None,Semester,Rural,422000000.0,http://www.kenyon.edu,https://www.usnews.com/best-colleges/kenyon-college-3065
29,Scripps College,28,"Scripps College is a private institution that was founded in 1926. It has a total undergraduate enrollment of 1,089, its setting is suburban, and the campus size is 32 acres. It utilizes a semester-based academic calendar. Scripps College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #28. Its tuition and fees are $59,410.","Private, Women's college",1926.0,None,Semester,Suburban,375600000.0,http://www.scrippscollege.edu/,https://www.usnews.com/best-colleges/scripps-college-1174
30,Soka University of America,28,"Soka University of America is a private institution that was founded in 1987. It has a total undergraduate enrollment of 406, its setting is suburban, and the campus size is 103 acres. It utilizes a semester-based academic calendar. Soka University of America's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #28. Its tuition and fees are $33,962.","Private, Coed",1987.0,None,Semester,Suburban,1300000000.0,http://www.soka.edu,https://www.usnews.com/best-colleges/soka-university-of-america-38144
31,United States Air Force Academy,28,"United States Air Force Academy is a public institution that was founded in 1954. It has a total undergraduate enrollment of 4,304, its setting is suburban, and the campus size is 18,500 acres. It utilizes a semester-based academic calendar. United States Air Force Academy's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #28. Its in-state tuition and fees are N; out-of-state tuition and fees are N.","Public, Coed",1954.0,None,Semester,Suburban,,http://academyadmissions.com,https://www.usnews.com/best-colleges/united-states-air-force-academy-1369
32,Berea College,33,"Berea College is a private institution that was founded in 1855. It has a total undergraduate enrollment of 1,688, its setting is rural, and the campus size is 140 acres. It utilizes a semester-based academic calendar. Berea College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #33. Its tuition and fees are $692.","Private, Coed",1855.0,None,Semester,Rural,1200000000.0,http://www.berea.edu,https://www.usnews.com/best-colleges/berea-college-1955
33,Bucknell University,34,"Bucknell University is a private institution that was founded in 1846. It has a total undergraduate enrollment of 3,627, its setting is rural, and the campus size is 449 acres. It utilizes a semester-based academic calendar. Bucknell University's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #34. Its tuition and fees are $58,202.","Private, Coed",1846.0,None,Semester,Rural,866800000.0,http://www.bucknell.edu,https://www.usnews.com/best-colleges/bucknell-university-3238
34,Mount Holyoke College,34,"Mount Holyoke College is a private institution that was founded in 1837. It has a total undergraduate enrollment of 2,190, its setting is suburban, and the campus size is 800 acres. It utilizes a semester-based academic calendar. Mount Holyoke College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #34. Its tuition and fees are $54,618.","Private, Women's college",1837.0,None,Semester,Suburban,794200000.0,http://www.mtholyoke.edu,https://www.usnews.com/best-colleges/mount-holyoke-college-2192
35,College of the Holy Cross,36,"College of the Holy Cross is a private institution that was founded in 1843. It has a total undergraduate enrollment of 3,174, its setting is suburban, and the campus size is 174 acres. It utilizes a semester-based academic calendar. College of the Holy Cross's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #36. Its tuition and fees are $56,520.","Private, Coed",1843.0,Roman Catholic,Semester,Suburban,785900000.0,http://www.holycross.edu,https://www.usnews.com/best-colleges/holy-cross-2141
36,Oberlin College,36,"Oberlin College is a private institution that was founded in 1833. It has a total undergraduate enrollment of 2,846, its setting is suburban, and the campus size is 440 acres. It utilizes a 4-1-4-based academic calendar. Oberlin College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #36. Its tuition and fees are $58,504.","Private, Coed",1833.0,None,4-1-4,Suburban,984700000.0,http://www.oberlin.edu,https://www.usnews.com/best-colleges/oberlin-college-3086
37,Pitzer College,36,"Pitzer College is a private institution that was founded in 1963. It has a total undergraduate enrollment of 1,119, its setting is suburban, and the campus size is 31 acres. It utilizes a semester-based academic calendar. Pitzer College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #36. Its tuition and fees are $55,878.","Private, Coed",1963.0,None,Semester,Suburban,144400000.0,http://www.pitzer.edu,https://www.usnews.com/best-colleges/pitzer-college-1172
38,Skidmore College,36,"Skidmore College is a private institution that was founded in 1903. It has a total undergraduate enrollment of 2,662, its setting is suburban, and the campus size is 890 acres. It utilizes a semester-based academic calendar. Skidmore College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #36. Its tuition and fees are $58,128.","Private, Coed",1903.0,None,Semester,Suburban,373900000.0,http://www.skidmore.edu,https://www.usnews.com/best-colleges/skidmore-college-2814
39,Lafayette College,40,"Lafayette College is a private institution that was founded in 1826. It has a total undergraduate enrollment of 2,662, its setting is suburban, and the campus size is 340 acres. It utilizes a semester-based academic calendar. Lafayette College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #40. Its tuition and fees are $57,052.","Private, Coed",1826.0,None,Semester,Suburban,861800000.0,https://www.lafayette.edu/,https://www.usnews.com/best-colleges/lafayette-college-3284
40,Occidental College,40,"Occidental College is a private institution that was founded in 1887. It has a total undergraduate enrollment of 2,081, its setting is urban, and the campus size is 120 acres. It utilizes a semester-based academic calendar. Occidental College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #40. Its tuition and fees are $56,576.","Private, Coed",1887.0,None,Semester,Urban,448100000.0,http://www.oxy.edu,https://www.usnews.com/best-colleges/occidental-college-1249
41,Thomas Aquinas College,40,"Thomas Aquinas College is a private institution that was founded in 1971. It has a total undergraduate enrollment of 439, its setting is rural, and the campus size is 131 acres. It utilizes a semester-based academic calendar. Thomas Aquinas College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #40. Its tuition and fees are $26,000.","Private, Coed",1971.0,Roman Catholic,Semester,Rural,25300000.0,//www.thomasaquinas.edu,https://www.usnews.com/best-colleges/thomas-aquinas-college-10448
42,Franklin & Marshall College,43,"Franklin & Marshall College is a private institution that was founded in 1787. It has a total undergraduate enrollment of 2,315, its setting is city, and the campus size is 200 acres. It utilizes a semester-based academic calendar. Franklin & Marshall College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #43. Its tuition and fees are $61,062.","Private, Coed",1787.0,None,Semester,City,388000000.0,http://www.fandm.edu,https://www.usnews.com/best-colleges/franklin--marshall-college-3265
43,Denison University,44,"Denison University is a private institution that was founded in 1831. It has a total undergraduate enrollment of 2,293, its setting is suburban, and the campus size is 850 acres. It utilizes a semester-based academic calendar. Denison University's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #44. Its tuition and fees are $56,680.","Private, Coed",1831.0,None,Semester,Suburban,887900000.0,http://www.denison.edu,https://www.usnews.com/best-colleges/denison-university-3042
44,Trinity College,44,"Trinity College is a private institution that was founded in 1823. It has a total undergraduate enrollment of 2,195, its setting is urban, and the campus size is 100 acres. It utilizes a semester-based academic calendar. Trinity College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #44. Its tuition and fees are $58,620.","Private, Coed",1823.0,Undenominational,Semester,Urban,640800000.0,http://www.trincoll.edu,https://www.usnews.com/best-colleges/trinity-college-1414
45,Union College (NY),44,"Union College (NY) is a private institution that was founded in 1795. It has a total undergraduate enrollment of 2,189, its setting is city, and the campus size is 100 acres. It utilizes a trimester-based academic calendar. Union College (NY)'s ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #44. Its tuition and fees are $59,427.","Private, Coed",1795.0,None,Trimester,City,470300000.0,http://www.union.edu,https://www.usnews.com/best-colleges/union-college-new-york-2889
46,DePauw University,47,"DePauw University is a private institution that was founded in 1837. It has a total undergraduate enrollment of 1,972, its setting is rural, and the campus size is 655 acres. It utilizes a 4-1-4-based academic calendar. DePauw University's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #47. Its tuition and fees are $53,684.","Private, Coed",1837.0,None,4-1-4,Rural,730300000.0,http://www.depauw.edu,https://www.usnews.com/best-colleges/depauw-university-1792
47,Dickinson College,47,"Dickinson College is a private institution that was founded in 1783. It has a total undergraduate enrollment of 2,133, its setting is suburban, and the campus size is 144 acres. It utilizes a semester-based academic calendar. Dickinson College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #47. Its tuition and fees are $56,498.","Private, Coed",1783.0,None,Semester,Suburban,455400000.0,http://www.dickinson.edu,https://www.usnews.com/best-colleges/dickinson-college-3253
48,The University of the South,47,"The University of the South is a private institution that was founded in 1857. It has a total undergraduate enrollment of 1,695, its setting is rural, and the campus size is 13,000 acres. It utilizes a semester-based academic calendar. The University of the South's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #47. Its tuition and fees are $47,980.","Private, Coed",1857.0,Protestant Episcopal,Semester,Rural,408800000.0,http://www.sewanee.edu,https://www.usnews.com/best-colleges/the-university-of-the-south-3534
49,Whitman College,47,"Whitman College is a private institution that was founded in 1883. It has a Rural setting, and the campus size is 117 acres. It utilizes a semester-based academic calendar. Whitman College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #47. Its tuition and fees are $53,820.","Private, Coed",1883.0,None,Semester,Rural,,http://www.whitman.edu,https://www.usnews.com/best-colleges/whitman-college-3803
50,Connecticut College,51,"Connecticut College is a private institution that was founded in 1911. It has a total undergraduate enrollment of 1,861, its setting is city, and the campus size is 750 acres. It utilizes a semester-based academic calendar. Connecticut College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #51. Its tuition and fees are $59,025.","Private, Coed",1911.0,None,Semester,City,324400000.0,http://www.conncoll.edu,https://www.usnews.com/best-colleges/connecticut-college-1379
51,Centre College,52,"Centre College is a private institution that was founded in 1819. It has a total undergraduate enrollment of 1,411, its setting is city, and the campus size is 106 acres. It utilizes a 4-1-4-based academic calendar. Centre College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #52. Its tuition and fees are $44,300.","Private, Coed",1819.0,Presbyterian,4-1-4,City,330600000.0,http://www.centre.edu,https://www.usnews.com/best-colleges/centre-college-1961
52,Furman University,52,"Furman University is a private institution that was founded in 1826. It has a total undergraduate enrollment of 2,687, its setting is suburban, and the campus size is 800 acres. It utilizes a semester-based academic calendar. Furman University's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #52. Its tuition and fees are $52,092.","Private, Coed",1826.0,None,Semester,Suburban,694300000.0,http://www.furman.edu/,https://www.usnews.com/best-colleges/furman-university-3434
53,Bard College,54,"Bard College is a private institution that was founded in 1860. It has a total undergraduate enrollment of 1,954, its setting is rural, and the campus size is 1,000 acres. It utilizes a semester-based academic calendar. Bard College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #54. Its tuition and fees are $56,036.","Private, Coed",1860.0,None,Semester,Rural,,http://www.bard.edu,https://www.usnews.com/best-colleges/bard-college-2671
54,Gettysburg College,54,"Gettysburg College is a private institution that was founded in 1832. It has a total undergraduate enrollment of 2,372, its setting is suburban, and the campus size is 230 acres. It utilizes a semester-based academic calendar. Gettysburg College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #54. Its tuition and fees are $58,505.","Private, Coed",1832.0,None,Semester,Suburban,324200000.0,https://www.gettysburg.edu/,https://www.usnews.com/best-colleges/gettysburg-college-3268
55,Hillsdale College,54,"Hillsdale College is a private institution that was founded in 1844. It has a total undergraduate enrollment of 1,468, its setting is rural, and the campus size is 400 acres. It utilizes a semester-based academic calendar. Hillsdale College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #54. Its tuition and fees are $29,482.","Private, Coed",1844.0,Undenominational,Semester,Rural,710300000.0,https://www.hillsdale.edu/,https://www.usnews.com/best-colleges/hillsdale-college-2272
56,Rhodes College,54,"Rhodes College is a private institution that was founded in 1848. It has a total undergraduate enrollment of 1,973, its setting is urban, and the campus size is 123 acres. It utilizes a semester-based academic calendar. Rhodes College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #54. Its tuition and fees are $50,910.","Private, Coed",1848.0,Presbyterian,Semester,Urban,352200000.0,http://www.rhodes.edu,https://www.usnews.com/best-colleges/rhodes-college-3519
57,Spelman College,54,"Spelman College is a private institution that was founded in 1881. It has a total undergraduate enrollment of 2,120, its setting is urban, and the campus size is 39 acres. It utilizes a semester-based academic calendar. Spelman College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #54. Its tuition and fees are $29,972.","Private, Women's college",1881.0,None,Semester,Urban,390500000.0,http://www.spelman.edu,https://www.usnews.com/best-colleges/spelman-college-1594
58,St. Lawrence University,54,"St. Lawrence University is a private institution that was founded in 1856. It has a total undergraduate enrollment of 2,392, its setting is rural, and the campus size is 1,100 acres. It utilizes a semester-based academic calendar. St. Lawrence University's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #54. Its tuition and fees are $58,750.","Private, Coed",1856.0,None,Semester,Rural,315700000.0,http://www.stlawu.edu,https://www.usnews.com/best-colleges/st-lawrence-university-2829
59,Wabash College,54,"Wabash College is a private institution that was founded in 1832. It has a total undergraduate enrollment of 867, its setting is city, and the campus size is 94 acres. It utilizes a semester-based academic calendar. Wabash College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #54. Its tuition and fees are $45,850.","Private, Men's college",1832.0,None,Semester,City,344300000.0,//www.wabash.edu,https://www.usnews.com/best-colleges/wabash-college-1844
60,Agnes Scott College,61,"Agnes Scott College is a private institution that was founded in 1889. It has a total undergraduate enrollment of 1,005, its setting is urban, and the campus size is 100 acres. It utilizes a semester-based academic calendar. Agnes Scott College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #61. Its tuition and fees are $44,250.","Private, Women's college",1889.0,Presbyterian Church (USA),Semester,Urban,217100000.0,http://www.agnesscott.edu,https://www.usnews.com/best-colleges/agnes-scott-college-1542
61,Wheaton College (IL),61,"Wheaton College (IL) is a private institution that was founded in 1860. It has a total undergraduate enrollment of 2,395, its setting is suburban, and the campus size is 80 acres. It utilizes a semester-based academic calendar. Wheaton College (IL)'s ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #61. Its tuition and fees are $39,100.","Private, Coed",1860.0,"Protestant, not specified",Semester,Suburban,503400000.0,http://www.wheaton.edu,https://www.usnews.com/best-colleges/wheaton-college-il-1781
62,Lawrence University,63,"Lawrence University is a private institution that was founded in 1847. It has a total undergraduate enrollment of 1,445, its setting is city, and the campus size is 88 acres. It utilizes a trimester-based academic calendar. Lawrence University's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #63. Its tuition and fees are $50,958.","Private, Coed",1847.0,None,Trimester,City,357000000.0,http://www.lawrence.edu,https://www.usnews.com/best-colleges/lawrence-university-3856
63,Reed College,63,"Reed College is a private institution.   Reed College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #63. Its tuition and fees are $58,440.",Private,,None,,,,http://www.reed.edu/,https://www.usnews.com/best-colleges/reed-college-3217
64,Sarah Lawrence College,63,"Sarah Lawrence College is a private institution that was founded in 1926. It has a total undergraduate enrollment of 1,433, its setting is suburban, and the campus size is 42 acres. It utilizes a semester-based academic calendar. Sarah Lawrence College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #63. Its tuition and fees are $57,520.","Private, Coed",1926.0,None,Semester,Suburban,112700000.0,http://www.slc.edu,https://www.usnews.com/best-colleges/sarah-lawrence-2813
65,St. John's College (MD),63,"St. John's College (MD) is a private institution that was founded in 1696. It has a total undergraduate enrollment of 494, its setting is city, and the campus size is 36 acres. It utilizes a semester-based academic calendar. St. John's College (MD)'s ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #63. Its tuition and fees are $35,935.","Private, Coed",1696.0,None,Semester,City,132900000.0,http://www.sjc.edu,https://www.usnews.com/best-colleges/st-johns-college-maryland-2092
66,Kalamazoo College,67,"Kalamazoo College is a private institution that was founded in 1833. It has a total undergraduate enrollment of 1,286, its setting is city, and the campus size is 60 acres. It utilizes a quarter-based academic calendar. Kalamazoo College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #67. Its tuition and fees are $52,380.","Private, Coed",1833.0,None,Quarter,City,240300000.0,http://www.kzoo.edu,https://www.usnews.com/best-colleges/kalamazoo-college-2275
67,St. Olaf College,67,"St. Olaf College is a private institution that was founded in 1874. It has a total undergraduate enrollment of 3,072, its setting is rural, and the campus size is 300 acres. It utilizes a 4-1-4-based academic calendar. St. Olaf College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #67. Its tuition and fees are $51,450.","Private, Coed",1874.0,Evangelical Lutheran Church,4-1-4,Rural,540100000.0,http://wp.stolaf.edu/,https://www.usnews.com/best-colleges/st-olaf-college-2382
68,College of Wooster,69,"College of Wooster is a private institution that was founded in 1866. It has a total undergraduate enrollment of 1,947, its setting is city, and the campus size is 240 acres. It utilizes a semester-based academic calendar. College of Wooster's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #69. Its tuition and fees are $54,000.","Private, Coed",1866.0,None,Semester,City,328900000.0,http://www.wooster.edu/,https://www.usnews.com/best-colleges/college-of-wooster-3037
69,Virginia Military Institute,69,"Virginia Military Institute is a public institution that was founded in 1839. It has a total undergraduate enrollment of 1,698, its setting is city, and the campus size is 200 acres. It utilizes a semester-based academic calendar. Virginia Military Institute's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #69. Its in-state tuition and fees are $19,118; out-of-state tuition and fees are $45,962.","Public, Coed",1839.0,None,Semester,City,528799999.99999994,http://www.vmi.edu,https://www.usnews.com/best-colleges/vmi-3753
70,Wofford College,69,"Wofford College is a private institution that was founded in 1854. It has a total undergraduate enrollment of 1,667, its setting is urban, and the campus size is 170 acres. It utilizes a 4-1-4-based academic calendar. Wofford College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #69. Its tuition and fees are $47,650.","Private, Coed",1854.0,United Methodist,4-1-4,Urban,211700000.0,http://www.wofford.edu,https://www.usnews.com/best-colleges/wofford-college-3457
71,Hobart and William Smith Colleges,72,"Hobart and William Smith Colleges is a private institution that was founded in 1822. It has a total undergraduate enrollment of 2,061, its setting is city, and the campus size is 170 acres. It utilizes a semester-based academic calendar. Hobart and William Smith Colleges's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #72. Its tuition and fees are $58,630.","Private, Coed",1822.0,None,Semester,City,226100000.0,http://www.hws.edu,https://www.usnews.com/best-colleges/hobart-and-william-2731
72,Knox College,72,"Knox College is a private institution that was founded in 1837. It has a total undergraduate enrollment of 1,258, its setting is city, and the campus size is 82 acres. It utilizes a quarter-based academic calendar. Knox College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #72. Its tuition and fees are $49,974.","Private, Coed",1837.0,None,Quarter,City,170200000.0,http://www.knox.edu,https://www.usnews.com/best-colleges/knox-college-1704
73,Muhlenberg College,72,"Muhlenberg College is a private institution that was founded in 1848. It has a total undergraduate enrollment of 2,251, its setting is suburban, and the campus size is 75 acres. It utilizes a semester-based academic calendar. Muhlenberg College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #72. Its tuition and fees are $56,665.","Private, Coed",1848.0,Lutheran Church in America,Semester,Suburban,289000000.0,http://www.muhlenberg.edu,https://www.usnews.com/best-colleges/muhlenberg-college-3304
74,Willamette University,72,"Willamette University is a private institution that was founded in 1842. It has a total undergraduate enrollment of 1,515, its setting is city, and the campus size is 61 acres. It utilizes a semester-based academic calendar. Willamette University's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #72. Its tuition and fees are $53,624.","Private, Coed",1842.0,United Methodist,Semester,City,258100000.00000003,http://www.willamette.edu,https://www.usnews.com/best-colleges/willamette-3227
75,Bennington College,76,"Bennington College is a private institution that was founded in 1932. It has a total undergraduate enrollment of 733, its setting is rural, and the campus size is 440 acres. It utilizes a semester-based academic calendar. Bennington College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #76. Its tuition and fees are $58,124.","Private, Coed",1932.0,None,Semester,Rural,40600000.0,http://www.bennington.edu,https://www.usnews.com/best-colleges/bennington-college-3682
76,Cornell College,76,"Cornell College is a private institution that was founded in 1853. It has a total undergraduate enrollment of 1,020, its setting is rural, and the campus size is 129 acres. It utilizes a 8 terms-based academic calendar. Cornell College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #76. Its tuition and fees are $45,914.","Private, Coed",1853.0,United Methodist,8 Terms,Rural,76300000.0,http://www.cornellcollege.edu,https://www.usnews.com/best-colleges/cornell-college-1856
77,Lewis & Clark College,76,"Lewis & Clark College is a private institution that was founded in 1867. It has a total undergraduate enrollment of 1,965, its setting is city, and the campus size is 134 acres. It utilizes a semester-based academic calendar. Lewis & Clark College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #76. Its tuition and fees are $55,266.","Private, Coed",1867.0,None,Semester,City,236600000.0,http://www.lclark.edu,https://www.usnews.com/best-colleges/lewis--clark-college-3197
78,St. John's College (NM),76,"St. John's College (NM) is a private institution that was founded in 1696. It has a total undergraduate enrollment of 317, its setting is city, and the campus size is 250 acres. It utilizes a semester-based academic calendar. St. John's College (NM)'s ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #76. Its tuition and fees are $36,410.","Private, Coed",1696.0,None,Semester,City,84400000.0,http://www.sjc.edu,https://www.usnews.com/best-colleges/st-johns-college-new-mexico-2093
79,Allegheny College,80,"Allegheny College is a private institution that was founded in 1815. It has a total undergraduate enrollment of 1,775, its setting is suburban, and the campus size is 566 acres. It utilizes a semester-based academic calendar. Allegheny College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #80. Its tuition and fees are $50,980.","Private, Coed",1815.0,United Methodist,Semester,Suburban,230500000.0,https://allegheny.edu,https://www.usnews.com/best-colleges/allegheny-college-3230
80,Beloit College,80,"Beloit College is a private institution that was founded in 1846. It has a total undergraduate enrollment of 1,143, its setting is city, and the campus size is 47 acres. It utilizes a semester-based academic calendar. Beloit College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #80. Its tuition and fees are $53,348.","Private, Coed",1846.0,None,Semester,City,136700000.0,http://www.beloit.edu,https://www.usnews.com/best-colleges/beloit-college-3835
81,Illinois Wesleyan University,80,"Illinois Wesleyan University is a private institution that was founded in 1850. It has a total undergraduate enrollment of 1,629, its setting is suburban, and the campus size is 82 acres. It utilizes a 4-4-1-based academic calendar. Illinois Wesleyan University's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #80. Its tuition and fees are $51,336.","Private, Coed",1850.0,None,4-4-1,Suburban,213900000.0,http://www.iwu.edu,https://www.usnews.com/best-colleges/illinois-wesleyan-university-1696
82,St. Mary's College of Maryland,80,"St. Mary's College of Maryland is a public institution that was founded in 1840. It has a total undergraduate enrollment of 1,491, its setting is rural, and the campus size is 361 acres. It utilizes a semester-based academic calendar. St. Mary's College of Maryland's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #80. Its in-state tuition and fees are $15,124; out-of-state tuition and fees are $31,200.","Public, Coed",1840.0,None,Semester,Rural,37100000.0,http://www.smcm.edu,https://www.usnews.com/best-colleges/st-marys-college-2095
83,Earlham College,84,"Earlham College is a private institution that was founded in 1847. It has a total undergraduate enrollment of 957, its setting is city, and the campus size is 200 acres. It utilizes a semester-based academic calendar. Earlham College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #84. Its tuition and fees are $48,091.","Private, Coed",1847.0,Friends,Semester,City,418800000.0,http://www.earlham.edu/admissions,https://www.usnews.com/best-colleges/earlham-college-1793
84,Gustavus Adolphus College,84,"Gustavus Adolphus College is a private institution that was founded in 1862. It has a total undergraduate enrollment of 2,235, its setting is rural, and the campus size is 340 acres. It utilizes a 4-1-4-based academic calendar. Gustavus Adolphus College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #84. Its tuition and fees are $48,460.","Private, Coed",1862.0,Evangelical Lutheran Church,4-1-4,Rural,194400000.0,https://gustavus.edu,https://www.usnews.com/best-colleges/gustavus-college-2353
85,Juniata College,84,"Juniata College is a private institution that was founded in 1876. It has a total undergraduate enrollment of 1,389, its setting is rural, and the campus size is 800 acres. It utilizes a semester-based academic calendar. Juniata College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #84. Its tuition and fees are $49,175.","Private, Coed",1876.0,None,Semester,Rural,117300000.0,http://www.juniata.edu,https://www.usnews.com/best-colleges/juniata-college-3279
86,Lake Forest College,84,"Lake Forest College is a private institution that was founded in 1857. It has a total undergraduate enrollment of 1,538, its setting is suburban, and the campus size is 107 acres. It utilizes a semester-based academic calendar. Lake Forest College's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #84. Its tuition and fees are $49,822.","Private, Coed",1857.0,None,Semester,Suburban,87500000.0,http://www.lakeforest.edu,https://www.usnews.com/best-colleges/lake-forest-college-1706
87,New College of Florida,84,"New College of Florida is a public institution that was founded in 1960. It has a total undergraduate enrollment of 702, its setting is suburban, and the campus size is 110 acres. It utilizes a 4-1-4-based academic calendar. New College of Florida's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #84. Its in-state tuition and fees are $6,916; out-of-state tuition and fees are $29,944.","Public, Coed",1960.0,None,4-1-4,Suburban,46400000.0,//www.ncf.edu,https://www.usnews.com/best-colleges/new-college-of-florida-153704
88,Transylvania University,84,"Transylvania University is a private institution that was founded in 1780. It has a total undergraduate enrollment of 949, its setting is urban, and the campus size is 46 acres. It utilizes a 4-4-1-based academic calendar. Transylvania University's ranking in the 2021 edition of Best Colleges is National Liberal Arts Colleges, #84. Its tuition and fees are $41,610.","Private, Coed",1780.0, Christian Church (Disciples of Christ),4-4-1,Urban,191200000.0,http://www.transy.edu,https://www.usnews.com/best-colleges/transylvania-university-1987
